组织名称,简介
Kimsuky,朝鲜APT组织，2012年成立，主攻韩国/美国智库和政府部门，以钓鱼邮件和社会工程学著称
Group123（APT37）,疑似朝鲜APT组织，2012年起活动，针对韩国等亚洲国家进行网络间谍活动
Lazarus,朝鲜黑客组织，2007年成立，以加密货币盗窃和金融网络犯罪闻名，曾参与WannaCry事件
Darkhotel,朝鲜半岛网络间谍组织，2007年起活动，针对高端酒店Wi-Fi实施水坑攻击
Sodinokibi（REvil）,俄罗斯勒索软件组织，2019年活跃，采用双重勒索模式，2021年被多国联手摧毁
Stop,2016年起活跃的网络攻击组织，涉及南亚和东南亚多国
Toxin,疑似来自欧洲或北美的勒索软件组织，针对政府/军事/能源/金融领域
WannaRen,2020年成立的勒索病毒组织，与影子经纪人（TSB）相关，利用永恒之蓝漏洞传播
Zorab,中东地区网络犯罪组织，成员多来自伊朗/伊拉克/叙利亚，以勒索软件和数据泄露为主
乌克兰IT网军,2022年成立的乌克兰志愿者黑客组织，对俄罗斯目标发起DDoS攻击和网络间谍活动
旺刺（APT-C-47）,朝鲜半岛地区APT组织，2018年起活动，以ClickOnce技术进行攻击
ScarCruft（APT37）,朝鲜支持的APT组织，2012年左右成立，与Group123疑似同一组织，擅长漏洞开发
虎木槿,朝鲜背景APT组织，以新冠疫情等为诱饵进行钓鱼攻击，目标包括中国等
双尾蝎,朝鲜APT组织，以鱼叉式钓鱼和恶意软件攻击著称
对抗西方（Against The West）,朝鲜黑客组织，针对西方国家和国际组织实施网络攻击
幼象,朝鲜黑客组织，针对韩国等目标进行网络间谍活动
Maze,2019年活跃的勒索软件组织，声称不攻击医疗和政府机构，2020年突然关闭赎金网站
MedusaLocke,2020年活跃的勒索软件组织，针对全球多行业实施加密勒索
MegaCortex,勒索软件组织，以水坑攻击和鱼叉式钓鱼为主要入侵手段
Motocos,朝鲜勒索软件组织，针对韩国等国家的金融机构和政府目标
肚脑虫,朝鲜勒索软件组织，针对全球多行业实施攻击
摩诃草（白象）,勒索软件组织，以加密勒索为主要攻击模式
蔓灵花,朝鲜背景APT组织，针对韩国和中国的政府和金融部门实施攻击
响尾蛇,2019年活跃的勒索软件组织，采用双重勒索策略，目标多为大型企业
FuxSocy,中国台湾背景APT组织，针对国防、能源、海事等领域进行网络间谍活动
Galaxy,勒索软件组织，2020年起活跃，以大规模加密勒索为特征
GandCrab,俄罗斯勒索软件即服务（RaaS）组织，2018-2020年活跃，2020年自称"投降"
Globelmposter,2019年活跃的勒索软件组织，以大规模网络钓鱼为传播手段
GoNNaCry,勒索软件组织，采用双重勒索策略
Secjuice,朝鲜APT组织，以社会工程学和鱼叉式钓鱼为主要攻击手法
CNC,朝鲜黑客组织，隶属于劳动党中央委员会指导部，针对韩国等目标
海莲花（OceanLotus/APT32）,越南国家级APT组织，2012年起活动，长期针对中国政府部门、科研院所、高校等实施网络攻击
摩罗桫,台湾背景APT组织，针对军事和国防领域进行间谍活动
毒云藤（APT-C-01/穷奇）,台湾背景APT组织，2007年起活动，针对中国国防/政府/科技等部门的长期网络间谍活动
蓝宝菇（APT-Q-21/核危机）,台湾背景APT组织，2011年成立，重点关注核工业和科研信息
CryptoJoker,勒索软件组织，2021年起活跃，以双重勒索著称
CryptoMix,勒索软件组织，以加密勒索和数据窃取为主要攻击模式
Cryptowall,2014年活跃的早期勒索软件组织，曾感染数十万台电脑
Buran,勒索软件组织，采用文件加密和数据窃取双重策略
APT29（Cozy Bear）,俄罗斯APT组织，主攻北约/美国政府，2016年曾入侵民主党全国委员会
APT28（Fancy Bear）,俄罗斯GRU支持的APT组织，长期针对政府/军事/国防领域
Turla（Snake）,俄罗斯APT组织，以高级木马和钓鱼攻击闻名，针对政府/外交机构
魔鼠,朝鲜APT组织，以远程访问木马为主要攻击工具
GNG,德国BND支持的APT组织，针对政治/人权相关目标
Hydra UG,德国BND支持的APT组织，与GNG关系密切
Netsec,德国BND支持的APT组织，以高度定制化的恶意软件著称
SecDet,德国BND支持的APT组织，专注于信息窃取
Crystal_MSF,德国BND支持的APT组织，使用定制化MSF工具进行渗透
Gamaredon,德国BND支持的APT组织，擅长利用漏洞进行高级持久入侵
蓝色魔眼（Promethium）,伊朗APT组织，以网络钓鱼和数据窃取为主，针对政府和企业
Lamberts,朝鲜黑客组织，针对韩国等目标进行网络攻击
黄金鼠（APT-C-27）,叙利亚APT组织，高度专业化，针对叙利亚地区进行长期信息窃取
Nemty,俄罗斯背景勒索软件组织，针对政府/国防/航天等目标
Netwalker,俄罗斯勒索软件组织，2019年起活跃，采用双重勒索策略
Phobos,勒索软件即服务（RaaS）组织，采用双重加密和威胁泄露模式
Ryuk,俄罗斯背景勒索软件组织，以高额赎金和针对性攻击著称
SamSam,自动化勒索软件组织，以利用网络漏洞自动传播而闻名
黄金眼,朝鲜黑客组织，针对韩国等目标进行网络间谍活动
CryLock,勒索软件组织，以双重勒索为攻击模式
方程式（Equation Group）,疑似美国NSA的高级黑客组织，以国家级漏洞利用能力著称，2015年基础设施被发现
索伦之眼,勒索软件组织，针对大型企业实施加密勒索
EKANS,朝鲜黑客组织，针对韩国企业和政府实施网络攻击
Henry,勒索软件组织，以自动化加密和勒索为主要模式
Hospit,朝鲜APT组织，以信息窃取和远程访问为主要攻击目的
LockerGoga,2018年攻击三星的勒索软件，被认为具有国家背景
Makop,勒索软件组织，针对中东和欧洲目标
Longhorn,俄罗斯GRU支持的APT组织，针对乌克兰等目标实施网络攻击
人面狮（APT35）,伊朗APT组织，针对海湾国家电信行业进行间谍活动
诺崇狮,勒索软件组织，以加密勒索为主要攻击模式
利刃鹰,勒索软件组织，针对企业和政府目标
Cryakl/Crylock,俄罗斯勒索软件组织，采用多阶段攻击链
Darkside,俄罗斯勒索软件组织，2021年曾攻击Colonial Pipeline导致美国燃油供应中断
DoppelPaymer,俄罗斯勒索软件组织，2019-2021年活跃，攻击多国企业和政府机构
Ducky,勒索软件组织，以鱼叉式钓鱼为初始入侵手段
Egregor,2018年活跃的勒索软件组织，代码源自Dcryptor，与NetWire RAT有关联
Charming Kitten,伊朗APT组织，以水坑攻击和鱼叉式钓鱼著称，针对中东和欧洲目标
CopyKittens,伊朗APT组织，针对中东能源和电信行业实施攻击
APT-34（OilRig）,伊朗APT组织，以鱼叉式钓鱼和恶意文档为主要攻击手法
MuddyWater（APT34）,伊朗APT组织，2014年起活动，以社会工程学和数据窃取为主
BitPaymer,俄罗斯勒索软件组织，2019年起活跃，针对医疗/物流等行业
BeijingCrypt,勒索软件组织，以加密勒索为主要攻击模式
Conti（Wizard Spider）,俄罗斯勒索软件组织，2020-2022年活跃，曾攻击多家跨国企业和政府
Contileaks,俄罗斯黑客组织，以泄露数据为名进行勒索
Trickleaks,俄罗斯黑客组织，与Conti组织有关联，以数据泄露勒索为目标
APT33（Elfin）,伊朗军事网络攻击部队，针对国防和能源行业实施攻击
盲眼鹰,朝鲜黑客组织，针对韩国等目标进行间谍活动
西藏匿名者,反共黑客组织，以政治宣传为目的进行网站篡改
匿名者（Anonymous）,国际黑客活动主义组织，以分布式拒绝服务和网站篡改为主要手段
The Connections,伊朗APT组织，针对中东和欧洲目标实施网络攻击
Avaddon,2017年活跃的勒索软件组织，曾感染全球数万台设备
BadRabbit,2017年攻击乌克兰多家机构的勒索软件，被认为与俄罗斯有关
Bart,勒索软件组织，以加密勒索为主要攻击模式
反共黑客,反共政治黑客组织，长期对中国政府和企业网站进行篡改
ENIGMA,主要针对加密货币行业的黑客组织，以钓鱼和漏洞利用进行攻击
KelvinSecurity,委内瑞拉背景黑客组织，以DDoS和勒索软件为主要攻击手段
第65网络营（NB65）,乌克兰黑客组织，2022年成立，使用Conti泄露源代码二次开发进行攻击
Shadow_Xor,疑似LulzSec和Anonymous成员的个人黑客，亲乌克兰立场
Ghost Security,2015年成立的反恐黑客组织，Anonymous分支，"五大家族"之一
Stormous Ransomware,2021年活跃的亲俄勒索软件组织，以破坏网站和窃取信息闻名
RaidForums2Admin,黑客论坛RaidForums2的管理团队，俄乌冲突后支持乌克兰对俄发起攻击
Clop（TA505）,俄罗斯背景勒索软件组织，2014年成立，已勒索超75亿美元，2023年利用MOVEit漏洞大规模攻击
N3TWoRM,伊朗背景勒索软件组织，针对以色列和中东地区实施攻击
APPIN,印度雇佣黑客公司，2009年前成立，提供进攻性安全培训和秘密黑客服务
孤狼（Lone Wolf）,巴基斯坦背景黑客组织，利用Bunse Technologies公司为幌子，针对阿富汗/印度/俄罗斯目标
BodaMazzika（BlackDragonSec）,印度背景黑客组织，针对巴基斯坦/印度尼西亚/巴勒斯坦等国实施攻击
星暴雪（Star Blizzard/TA446）,俄罗斯FSB第18中心下属APT组织，2019年起活跃，以鱼叉式钓鱼闻名，主攻北约国家
Cyber Av3ngers,伊朗IRGC下属政治黑客组织，2018年起活跃，巴以冲突后针对以色列和美国目标
UTG-Q-001,BlackCat（ALPHV）勒索软件运营商之一，针对港澳和东南亚OT单位
Andariel（AndAriel）,朝鲜Lazarus Group附属组织，约1600名成员，曾参与WannaCry和索尼影业攻击
OilRig（HelixKitten/APT34）,伊朗政府支持下知名APT组织，2014年被发现，主攻中东国家
叙利亚电子军（SEA）,2011年成立的叙利亚国家支持黑客组织，针对西方媒体和政府网站发起攻击
TA4557,疑似俄罗斯黑客组织，以虚假招聘邮件为诱饵窃取个人数据和身份信息
ThreatSec,"五大家族"之一黑客组织，以DDoS和数据泄露为主要攻击手段
